Symbol,Side,Qty,Price,Close Price,Stop Loss,Take Profit,Open Time,Close Time,Fee,Setup,Timeframe,Order ID
BTCUSDT,SELL,0.2963,68149.07,68453.38,68486.61,67461.55,2026-07-21 19:05:00,2026-07-21 19:30:00,24.29,Breaker,5m,90213481
BTCUSDT,BUY,0.1534,67505.35,68507.51,66853.58,68584.46,2026-07-21 03:15:00,2026-07-21 03:40:00,12.52,FVG,4h,90213516
LINKUSDT,SELL,344.83,20.92,20.0,21.21,20.29,2026-07-22 21:20:00,2026-07-22 22:20:00,8.47,Order block,4h,90213521
ETHUSDT,BUY,2.9691,3498.87,3607.38,3465.19,3555.05,2026-07-22 12:30:00,2026-07-22 13:30:00,12.66,Liquidity sweep,15m,90213546
LINKUSDT,SELL,227.27,18.91,19.31,19.35,18.2,2026-07-22 23:15:00,2026-07-23 00:15:00,5.21,Breaker,4h,90213565
BTCUSDT,BUY,0.1436,71012.54,72165.62,70315.92,73197.95,2026-07-23 21:20:00,2026-07-23 21:45:00,12.34,Breaker,5m,90213602
BTCUSDT,SELL,0.1172,68632.66,69444.18,69486.0,66775.78,2026-07-23 06:00:00,2026-07-23 11:00:00,9.71,BOS retest,1h,90213627
ETHUSDT,SELL,2.2119,3303.05,3236.87,3348.26,3179.93,2026-07-24 22:20:00,2026-07-25 03:20:00,8.68,Order block,15m,90213641
ETHUSDT,BUY,4.223,3428.6,3406.77,3404.92,3478.61,2026-07-24 16:45:00,2026-07-24 17:45:00,17.32,Order block,5m,90213669
LINKUSDT,SELL,588.24,18.86,19.02,19.03,18.54,2026-07-24 20:00:00,2026-07-25 01:00:00,13.37,Order block,15m,90213691
BTCUSDT,SELL,0.238,65094.95,65722.22,65515.11,63945.25,2026-07-25 04:05:00,2026-07-25 04:30:00,18.68,Liquidity sweep,5m,90213707
BTCUSDT,SELL,0.226,68749.45,67793.53,69191.91,67957.45,2026-07-25 22:30:00,2026-07-26 03:30:00,18.52,BOS retest,5m,90213723
SOLUSDT,BUY,31.25,170.14,176.29,166.94,180.05,2026-07-25 14:00:00,2026-07-25 15:00:00,6.5,Liquidity sweep,4h,90213741
BTCUSDT,BUY,0.1652,67731.36,68721.74,67126.09,68742.23,2026-07-26 23:00:00,2026-07-27 04:00:00,13.53,Order block,15m,90213768
SOLUSDT,BUY,45.05,184.77,182.79,182.55,190.36,2026-07-26 15:30:00,2026-07-26 15:55:00,9.94,Breaker,5m,90213788
BTCUSDT,BUY,0.344,67592.17,67303.33,67301.44,68063.52,2026-07-26 13:20:00,2026-07-26 14:20:00,27.84,Order block,15m,90213824
LINKUSDT,SELL,227.27,18.74,17.66,19.18,17.72,2026-07-27 14:30:00,2026-07-27 15:30:00,4.96,Liquidity sweep,4h,90213864
BTCUSDT,BUY,0.1964,67087.73,68673.6,66578.47,68444.5,2026-07-27 20:00:00,2026-07-28 08:00:00,16.0,Liquidity sweep,4h,90213892
SOLUSDT,BUY,35.34,179.38,176.92,176.55,187.33,2026-07-27 15:05:00,2026-07-27 16:05:00,7.55,BOS retest,4h,90213906
SOLUSDT,SELL,34.72,175.47,171.55,178.35,167.92,2026-07-27 13:15:00,2026-07-27 15:40:00,7.23,BOS retest,1h,90213916
ETHUSDT,BUY,3.2584,3421.34,,3390.65,3490.27,2026-07-28 16:20:00,,13.32,FVG,1h,90213948
BTCUSDT,BUY,0.1343,67376.19,,66631.66,69598.68,2026-07-28 12:15:00,,11.05,Liquidity sweep,1h,90213987
ETHUSDT,BUY,1.69,3766.16,,3706.99,3934.4,2026-07-28 18:45:00,,7.73,Breaker,1h,90213996
